,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status,closing_date
0,CMA,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
1,GILD,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
2,CB,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
3,ADP,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
4,AIG,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
5,WMB,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
6,DLR,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
7,VRSK,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
8,XEL,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
9,PKG,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
10,DPZ,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
11,ALLE,1,N/A,MOC,N/A,1,2025-06-12,US-Equity-SNP,pending,2025-06-13
