,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status,closing_date
0,AAP,1,N/A,MOC,N/A,1,2025-04-10,US-Equity-SNP,pending,2025-04-11
1,AMT,1,N/A,MOC,N/A,1,2025-04-10,US-Equity-SNP,pending,2025-04-11
