,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,UNH,1,301.0,LOO,0,0.0739650417179991,2025-05-22,US-Equity-1000,pending
1,DXC,1,14.760000228881836,LOO,1,0.03698252085899955,2025-05-22,US-Equity-1000,pending
2,VFC,1,12.149999618530273,LOO,2,0.11094756257699866,2025-05-22,US-Equity-1000,pending
3,STZ,-1,189.9199981689453,LOO,0,0.03698252085899955,2025-05-22,US-Equity-1000,pending
4,LHX,-1,241.6999969482422,LOO,1,0.03698252085899955,2025-05-22,US-Equity-1000,pending
5,ON,-1,44.2599983215332,LOO,2,0.03698252085899955,2025-05-22,US-Equity-1000,pending
6,DG,-1,101.26000213623047,LOO,3,0.03698252085899955,2025-05-22,US-Equity-1000,pending
7,FICO,1,1707.93994140625,LOO,3,0.0739650417179991,2025-05-22,US-Equity-1000,pending
8,MRNA,-1,27.899999618530273,LOO,4,0.03698252085899955,2025-05-22,US-Equity-1000,pending
9,STE,-1,248.58999633789062,LOO,5,0.03698252085899955,2025-05-22,US-Equity-1000,pending
10,FSLR,1,161.64999389648438,LOO,4,0.03698252085899955,2025-05-22,US-Equity-1000,pending
11,CE,-1,52.95000076293945,LOO,6,0.03698252085899955,2025-05-22,US-Equity-1000,pending
12,AES,1,10.130000114440918,LOO,5,0.0739650417179991,2025-05-22,US-Equity-1000,pending
13,SEDG,1,19.84000015258789,LOO,6,0.03698252085899955,2025-05-22,US-Equity-1000,pending
14,PCVX,-1,36.0,LOO,7,0.03698252085899955,2025-05-22,US-Equity-1000,pending
15,COOP,1,125.5,LOO,7,0.03698252085899955,2025-05-22,US-Equity-1000,pending
16,HALO,-1,53.93000030517578,LOO,8,0.0739650417179991,2025-05-22,US-Equity-1000,pending
17,MOD,1,93.26000213623047,LOO,8,0.03698252085899955,2025-05-22,US-Equity-1000,pending
18,HP,1,15.210000038146973,LOO,9,0.03698252085899955,2025-05-22,US-Equity-1000,pending
19,HI,1,19.649999618530273,LOO,10,0.0739650417179991,2025-05-22,US-Equity-1000,pending
20,BHVN,1,15.699999809265137,LOO,11,0.0739650417179991,2025-05-22,US-Equity-1000,pending
21,DY,-1,224.1300048828125,LOO,9,0.11094756257699866,2025-05-22,US-Equity-1000,pending
22,CCOI,1,46.04999923706055,LOO,12,0.03698252085899955,2025-05-22,US-Equity-1000,pending
23,DBRG,-1,11.109999656677246,LOO,10,0.03698252085899955,2025-05-22,US-Equity-1000,pending
24,FORM,-1,31.479999542236328,LOO,11,0.03698252085899955,2025-05-22,US-Equity-1000,pending
25,TXNM,-1,56.45000076293945,LOO,12,0.03698252085899955,2025-05-22,US-Equity-1000,pending
26,ACAD,-1,22.239999771118164,LOO,13,0.11094756257699866,2025-05-22,US-Equity-1000,pending
27,HELE,1,26.940000534057617,LOO,13,0.03698252085899955,2025-05-22,US-Equity-1000,pending
28,OSCR,1,14.859999656677246,LOO,14,0.03698252085899955,2025-05-22,US-Equity-1000,pending
29,BOOT,-1,158.94000244140625,LOO,14,0.0739650417179991,2025-05-22,US-Equity-1000,pending
30,CLSK,-1,10.109999656677246,LOO,15,0.03698252085899955,2025-05-22,US-Equity-1000,pending
31,CRDO,1,60.45000076293945,LOO,15,0.03698252085899955,2025-05-22,US-Equity-1000,pending
32,FL,-1,23.940000534057617,LOO,16,0.11094756257699866,2025-05-22,US-Equity-1000,pending
33,PZZA,-1,41.0,LOO,17,0.03698252085899955,2025-05-22,US-Equity-1000,pending
34,UPST,1,43.91999816894531,LOO,16,0.03698252085899955,2025-05-22,US-Equity-1000,pending
35,SITM,1,201.1199951171875,LOO,17,0.03698252085899955,2025-05-22,US-Equity-1000,pending
36,AGYS,-1,100.19000244140625,LOO,18,0.03698252085899955,2025-05-22,US-Equity-1000,pending
37,SDGR,1,20.510000228881836,LOO,18,0.03698252085899955,2025-05-22,US-Equity-1000,pending
38,ASAN,1,16.899999618530273,LOO,19,0.03698252085899955,2025-05-22,US-Equity-1000,pending
39,JACK,1,19.940000534057617,LOO,20,0.11094756257699866,2025-05-22,US-Equity-1000,pending
40,NVEE,-1,22.229999542236328,LOO,19,0.11094756257699866,2025-05-22,US-Equity-1000,pending
