,Symbol,Count,Count_Long,Count_Short,win,win_long,win_short,PnL_ratio_mean,PnL_ratio_long_mean,PnL_ratio_short_mean,TP_Touches,TP_Touches_long,TP_Touches_short,Len_of_traded_days
56,GL,20,6,14,0.45,0.6666666666666666,0.35714285714285715,-0.019623099083598116,0.031295453040511546,-0.04144533570821655,0.0,0.0,0.0,20
57,ROL,6,4,2,0.5,0.5,0.5,-0.005766196830466109,-0.005098001137258745,-0.007102588216880838,0.0,0.0,0.0,5
58,JNPR,21,13,8,0.42857142857142855,0.38461538461538464,0.5,-0.0025655035274914023,-0.00430582039848411,0.00026251138787174925,0.0,0.0,0.0,19
59,UHS,17,10,7,0.23529411764705882,0.1,0.42857142857142855,-0.02142493831794445,-0.026584295947544013,-0.01405442741851651,0.0,0.0,0.0,8
60,NCLH,51,25,26,0.47058823529411764,0.52,0.4230769230769231,-0.012919822244613403,0.0011545595489461016,-0.026452881661497542,0.0,0.0,0.0,43
61,CPB,8,5,3,0.375,0.4,0.3333333333333333,0.0027571751020519612,0.003007508676384903,0.0023399524781637262,0.0,0.0,0.0,8
62,MKTX,27,13,14,0.4444444444444444,0.5384615384615384,0.35714285714285715,-0.003201741230530388,-0.00014413479721357063,-0.006040947204324578,0.0,0.0,0.0,26
63,AOS,6,2,4,0.8333333333333334,0.5,1.0,0.013769433379251817,0.010690679169919517,0.015308810483917967,0.0,0.0,0.0,2
64,FOXA,5,4,1,0.2,0.25,0.0,-0.04589549258922918,-0.037476372068458094,-0.07957197467231357,0.0,0.0,0.0,2
65,HII,5,4,1,0.6,0.5,1.0,0.007564121202948843,0.002492288755080209,0.027851450994423377,0.0,0.0,0.0,3
66,KEY,22,8,14,0.5454545454545454,0.5,0.5714285714285714,5.342777751125975e-05,-0.012520943379584124,0.00723878272442291,0.0,0.0,0.0,12
67,NRG,21,11,10,0.42857142857142855,0.5454545454545454,0.3,-0.005032887082561184,-0.0040086820314078125,-0.006159512638829896,0.0,0.0,0.0,16
68,GNRC,63,32,31,0.4603174603174603,0.5,0.41935483870967744,-2.502100838042264e-05,0.0017975026054278813,-0.0019063357065051219,0.0,0.0,0.0,48
69,FFIV,11,4,7,0.5454545454545454,0.25,0.7142857142857143,0.010493719760636665,-0.008036416238347773,0.02108236890291349,0.0,0.0,0.0,11
70,RHI,13,12,1,0.46153846153846156,0.5,0.0,-0.010914002128523895,-0.01173007982328683,-0.0011210697913686953,0.0,0.0,0.0,8
71,XRAY,11,6,5,0.2727272727272727,0.16666666666666666,0.4,-0.015213031080701888,-0.019582960863699286,-0.009969115341105008,0.0,0.0,0.0,3
72,BBWI,45,29,16,0.4,0.4482758620689655,0.3125,-0.010893521464313808,-0.010021465128999953,-0.012474123572070174,0.0,0.0,0.0,36
73,WHR,13,6,7,0.5384615384615384,0.6666666666666666,0.42857142857142855,0.0033932464041602217,0.008004135639699561,-0.0005589443691592118,0.0,0.0,0.0,13
74,BXP,6,3,3,0.5,0.6666666666666666,0.3333333333333333,0.017739477770132937,0.04619634581888923,-0.010717390278623354,0.0,0.0,0.0,4
75,BIO,9,6,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,-0.010305960033675194,-0.013099457995902146,-0.0047189641092212934,0.0,0.0,0.0,9
76,CTLT,54,23,31,0.46296296296296297,0.5217391304347826,0.41935483870967744,-0.007743876671435517,-0.006757859827316576,-0.008475437555781833,0.0,0.0,0.0,39
77,PARA,77,38,39,0.5454545454545454,0.3684210526315789,0.717948717948718,0.011556135547246906,-0.006910746393470732,0.029549507694612804,0.0,0.0,0.0,72
78,HAS,27,11,16,0.5185185185185185,0.36363636363636365,0.625,-0.005305994022658515,-0.011897311754066003,-0.0007744630823158663,0.0,0.0,0.0,23
79,IVZ,3,3,0,0.3333333333333333,0.3333333333333333,,-0.010641805238655919,-0.010641805238655919,,0.0,0.0,,3
80,BEN,7,6,1,0.2857142857142857,0.3333333333333333,0.0,-0.01657205094012801,-0.008105695772988883,-0.06737018194296279,0.0,0.0,0.0,7
81,NWSA,13,3,10,0.3076923076923077,0.3333333333333333,0.3,-0.006120633583341186,-0.0019846536710857684,-0.007361427557017811,0.0,0.0,0.0,9
82,ALK,32,19,13,0.46875,0.3684210526315789,0.6153846153846154,-0.0054981185918271305,-0.008399212464441785,-0.0012580583164672498,0.0,0.0,0.0,28
83,AIZ,3,2,1,0.6666666666666666,0.5,1.0,-0.02783508780955972,-0.04947665284580147,0.015448042262923784,0.0,0.0,0.0,2
84,DXC,25,16,9,0.6,0.625,0.5555555555555556,-0.0011389294562051061,0.007887325833365055,-0.01718560552655205,0.0,0.0,0.0,25
85,SEE,14,7,7,0.42857142857142855,0.14285714285714285,0.7142857142857143,-0.0010197416888888375,-0.014163734827442301,0.012124251449664622,0.0,0.0,0.0,14
86,VFC,63,36,27,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.007709616207967177,0.0019655419127841776,0.015368381934877839,0.0,0.0,0.0,58
87,CMA,35,17,18,0.6,0.6470588235294118,0.5555555555555556,0.011862564611450974,0.01708623944495525,0.006929093935363604,0.0,0.0,0.0,26
88,DVA,22,14,8,0.5909090909090909,0.5714285714285714,0.625,0.006907735212979821,0.0063402889859707125,0.007900766110245759,0.0,0.0,0.0,17
