,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,UNH,1,519.719970703125,LOO,0,0.029278610243778737,2025-01-23,US-Equity-1000,pending
1,AVGO,-1,246.75,LOO,0,0.029278610243778737,2025-01-23,US-Equity-1000,pending
2,NFLX,-1,998.030029296875,LOO,1,0.058557220487557474,2025-01-23,US-Equity-1000,pending
3,ORCL,-1,191.50999450683594,LOO,2,0.058557220487557474,2025-01-23,US-Equity-1000,pending
4,CMA,1,62.689998626708984,LOO,1,0.029278610243778737,2025-01-23,US-Equity-1000,pending
5,WBA,1,11.25,LOO,2,0.029278610243778737,2025-01-23,US-Equity-1000,pending
6,PNC,1,196.3000030517578,LOO,3,0.029278610243778737,2025-01-23,US-Equity-1000,pending
7,SLB,1,41.630001068115234,LOO,4,0.029278610243778737,2025-01-23,US-Equity-1000,pending
8,D,1,52.93000030517578,LOO,5,0.029278610243778737,2025-01-23,US-Equity-1000,pending
9,EIX,1,58.290000915527344,LOO,6,0.029278610243778737,2025-01-23,US-Equity-1000,pending
10,TDY,-1,511.6700134277344,LOO,3,0.029278610243778737,2025-01-23,US-Equity-1000,pending
11,JBHT,1,173.47000122070312,LOO,7,0.029278610243778737,2025-01-23,US-Equity-1000,pending
12,STX,-1,108.62999725341797,LOO,4,0.029278610243778737,2025-01-23,US-Equity-1000,pending
13,QRVO,-1,87.86000061035156,LOO,5,0.029278610243778737,2025-01-23,US-Equity-1000,pending
14,SEDG,1,13.050000190734863,LOO,8,0.029278610243778737,2025-01-23,US-Equity-1000,pending
15,SMCI,-1,33.97999954223633,LOO,6,0.029278610243778737,2025-01-23,US-Equity-1000,pending
16,ELF,1,116.69000244140625,LOO,9,0.029278610243778737,2025-01-23,US-Equity-1000,pending
17,CHX,1,29.690000534057617,LOO,10,0.029278610243778737,2025-01-23,US-Equity-1000,pending
18,MUR,1,30.860000610351562,LOO,11,0.058557220487557474,2025-01-23,US-Equity-1000,pending
19,BECN,-1,116.54000091552734,LOO,7,0.029278610243778737,2025-01-23,US-Equity-1000,pending
20,CVNA,-1,238.8699951171875,LOO,8,0.029278610243778737,2025-01-23,US-Equity-1000,pending
21,FTAI,1,84.0,LOO,12,0.029278610243778737,2025-01-23,US-Equity-1000,pending
22,WK,1,98.91000366210938,LOO,13,0.058557220487557474,2025-01-23,US-Equity-1000,pending
23,STNG,1,47.7599983215332,LOO,14,0.058557220487557474,2025-01-23,US-Equity-1000,pending
24,AXSM,-1,102.2699966430664,LOO,9,0.029278610243778737,2025-01-23,US-Equity-1000,pending
25,MDGL,-1,324.7099914550781,LOO,10,0.029278610243778737,2025-01-23,US-Equity-1000,pending
26,RIOT,-1,13.140000343322754,LOO,11,0.029278610243778737,2025-01-23,US-Equity-1000,pending
27,OSCR,-1,16.260000228881836,LOO,12,0.029278610243778737,2025-01-23,US-Equity-1000,pending
28,TMDX,-1,61.970001220703125,LOO,13,0.029278610243778737,2025-01-23,US-Equity-1000,pending
29,CRDO,-1,85.5,LOO,14,0.058557220487557474,2025-01-23,US-Equity-1000,pending
30,NTLA,-1,11.010000228881836,LOO,15,0.029278610243778737,2025-01-23,US-Equity-1000,pending
31,GH,-1,47.20000076293945,LOO,16,0.029278610243778737,2025-01-23,US-Equity-1000,pending
32,AI,-1,35.279998779296875,LOO,17,0.029278610243778737,2025-01-23,US-Equity-1000,pending
33,PRGS,1,57.2599983215332,LOO,15,0.029278610243778737,2025-01-23,US-Equity-1000,pending
34,TWST,-1,52.34000015258789,LOO,18,0.029278610243778737,2025-01-23,US-Equity-1000,pending
35,MGEE,1,87.69999694824219,LOO,16,0.029278610243778737,2025-01-23,US-Equity-1000,pending
36,RDNT,-1,63.72999954223633,LOO,19,0.029278610243778737,2025-01-23,US-Equity-1000,pending
37,VCEL,1,58.529998779296875,LOO,17,0.029278610243778737,2025-01-23,US-Equity-1000,pending
38,BE,-1,26.950000762939453,LOO,20,0.029278610243778737,2025-01-23,US-Equity-1000,pending
39,DNLI,-1,23.309999465942383,LOO,21,0.029278610243778737,2025-01-23,US-Equity-1000,pending
40,INSW,1,36.33000183105469,LOO,18,0.058557220487557474,2025-01-23,US-Equity-1000,pending
41,PRCT,1,68.41999816894531,LOO,19,0.029278610243778737,2025-01-23,US-Equity-1000,pending
42,MYGN,1,12.279999732971191,LOO,20,0.029278610243778737,2025-01-23,US-Equity-1000,pending
43,DAN,-1,13.529999732971191,LOO,22,0.029278610243778737,2025-01-23,US-Equity-1000,pending
44,HEES,-1,89.4000015258789,LOO,23,0.029278610243778737,2025-01-23,US-Equity-1000,pending
45,AGYS,1,95.0,LOO,21,0.058557220487557474,2025-01-23,US-Equity-1000,pending
46,SDGR,-1,24.34000015258789,LOO,24,0.029278610243778737,2025-01-23,US-Equity-1000,pending
47,ASAN,1,20.209999084472656,LOO,22,0.029278610243778737,2025-01-23,US-Equity-1000,pending
