,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,GOOG,1,169.24000549316406,LOO,0,0.027211610228324787,2024-11-22,US-Equity-1000,pending
1,INTU,1,659.780029296875,LOO,1,0.027211610228324787,2024-11-22,US-Equity-1000,pending
2,CEG,-1,251.83999633789062,LOO,0,0.027211610228324787,2024-11-22,US-Equity-1000,pending
3,ULTA,1,338.7799987792969,LOO,2,0.054423220456649574,2024-11-22,US-Equity-1000,pending
4,INCY,1,70.38999938964844,LOO,3,0.027211610228324787,2024-11-22,US-Equity-1000,pending
5,SEDG,1,10.729999542236328,LOO,4,0.054423220456649574,2024-11-22,US-Equity-1000,pending
6,SMCI,-1,29.700000762939453,LOO,1,0.08163483068497436,2024-11-22,US-Equity-1000,pending
7,MSTR,-1,535.6300048828125,LOO,2,0.027211610228324787,2024-11-22,US-Equity-1000,pending
8,BRBR,1,75.06999969482422,LOO,5,0.027211610228324787,2024-11-22,US-Equity-1000,pending
9,FN,1,212.0,LOO,6,0.027211610228324787,2024-11-22,US-Equity-1000,pending
10,CYTK,1,47.66999816894531,LOO,7,0.054423220456649574,2024-11-22,US-Equity-1000,pending
11,MARA,-1,25.209999084472656,LOO,3,0.054423220456649574,2024-11-22,US-Equity-1000,pending
12,ATKR,1,76.48999786376953,LOO,8,0.027211610228324787,2024-11-22,US-Equity-1000,pending
13,MMS,1,74.95999908447266,LOO,9,0.054423220456649574,2024-11-22,US-Equity-1000,pending
14,HALO,1,45.70000076293945,LOO,10,0.054423220456649574,2024-11-22,US-Equity-1000,pending
15,MOD,-1,140.49000549316406,LOO,4,0.027211610228324787,2024-11-22,US-Equity-1000,pending
16,IRTC,1,73.9000015258789,LOO,11,0.027211610228324787,2024-11-22,US-Equity-1000,pending
17,ARWR,1,18.280000686645508,LOO,12,0.054423220456649574,2024-11-22,US-Equity-1000,pending
18,FRSH,-1,16.540000915527344,LOO,5,0.027211610228324787,2024-11-22,US-Equity-1000,pending
19,BHVN,1,45.189998626708984,LOO,13,0.027211610228324787,2024-11-22,US-Equity-1000,pending
20,PGNY,-1,14.970000267028809,LOO,6,0.027211610228324787,2024-11-22,US-Equity-1000,pending
21,OSCR,-1,17.09000015258789,LOO,7,0.027211610228324787,2024-11-22,US-Equity-1000,pending
22,ICFI,1,135.52999877929688,LOO,14,0.027211610228324787,2024-11-22,US-Equity-1000,pending
23,ESE,-1,148.52000427246094,LOO,8,0.027211610228324787,2024-11-22,US-Equity-1000,pending
24,ARVN,-1,25.110000610351562,LOO,9,0.027211610228324787,2024-11-22,US-Equity-1000,pending
25,AI,-1,34.9900016784668,LOO,10,0.054423220456649574,2024-11-22,US-Equity-1000,pending
26,BEAM,1,23.579999923706055,LOO,15,0.027211610228324787,2024-11-22,US-Equity-1000,pending
27,TWST,-1,41.65999984741211,LOO,11,0.027211610228324787,2024-11-22,US-Equity-1000,pending
28,BE,-1,24.760000228881836,LOO,12,0.054423220456649574,2024-11-22,US-Equity-1000,pending
29,DNLI,1,24.219999313354492,LOO,16,0.027211610228324787,2024-11-22,US-Equity-1000,pending
30,EBC,1,18.450000762939453,LOO,17,0.027211610228324787,2024-11-22,US-Equity-1000,pending
31,ENR,-1,38.09000015258789,LOO,13,0.054423220456649574,2024-11-22,US-Equity-1000,pending
32,PLAY,1,33.9900016784668,LOO,18,0.027211610228324787,2024-11-22,US-Equity-1000,pending
33,TGTX,-1,34.54999923706055,LOO,14,0.054423220456649574,2024-11-22,US-Equity-1000,pending
34,RCKT,1,12.789999961853027,LOO,19,0.027211610228324787,2024-11-22,US-Equity-1000,pending
35,IONQ,-1,32.779998779296875,LOO,15,0.054423220456649574,2024-11-22,US-Equity-1000,pending
36,AZZ,-1,95.41000366210938,LOO,16,0.054423220456649574,2024-11-22,US-Equity-1000,pending
37,SDGR,-1,20.3700008392334,LOO,17,0.027211610228324787,2024-11-22,US-Equity-1000,pending
38,PTGX,1,40.97999954223633,LOO,20,0.027211610228324787,2024-11-22,US-Equity-1000,pending
