,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,WBA,-1,12.529999732971191,LOO,0,0.06284379949221938,2025-01-16,US-Equity-1000,pending
1,STZ,1,180.72000122070312,LOO,0,0.03142189974610969,2025-01-16,US-Equity-1000,pending
2,CEG,-1,300.7699890136719,LOO,1,0.06284379949221938,2025-01-16,US-Equity-1000,pending
3,BK,-1,82.04000091552734,LOO,2,0.03142189974610969,2025-01-16,US-Equity-1000,pending
4,MRNA,1,34.77000045776367,LOO,1,0.06284379949221938,2025-01-16,US-Equity-1000,pending
5,EIX,1,61.29999923706055,LOO,2,0.03142189974610969,2025-01-16,US-Equity-1000,pending
6,DAL,-1,67.12999725341797,LOO,3,0.03142189974610969,2025-01-16,US-Equity-1000,pending
7,AXON,1,580.0,LOO,3,0.03142189974610969,2025-01-16,US-Equity-1000,pending
8,UAL,1,104.95999908447266,LOO,4,0.03142189974610969,2025-01-16,US-Equity-1000,pending
9,PCVX,-1,89.29000091552734,LOO,4,0.03142189974610969,2025-01-16,US-Equity-1000,pending
10,ITCI,-1,126.91000366210938,LOO,5,0.06284379949221938,2025-01-16,US-Equity-1000,pending
11,ANF,1,129.99000549316406,LOO,5,0.03142189974610969,2025-01-16,US-Equity-1000,pending
12,PBF,-1,31.309999465942383,LOO,6,0.03142189974610969,2025-01-16,US-Equity-1000,pending
13,OPCH,-1,29.219999313354492,LOO,7,0.06284379949221938,2025-01-16,US-Equity-1000,pending
14,BECN,-1,121.0,LOO,8,0.09426569923832906,2025-01-16,US-Equity-1000,pending
15,CVNA,-1,214.0399932861328,LOO,9,0.03142189974610969,2025-01-16,US-Equity-1000,pending
16,FTAI,1,116.08000183105469,LOO,6,0.06284379949221938,2025-01-16,US-Equity-1000,pending
17,SIG,1,58.689998626708984,LOO,7,0.06284379949221938,2025-01-16,US-Equity-1000,pending
18,HALO,-1,54.5099983215332,LOO,10,0.03142189974610969,2025-01-16,US-Equity-1000,pending
19,KBH,-1,71.45999908447266,LOO,11,0.03142189974610969,2025-01-16,US-Equity-1000,pending
20,NEOG,1,11.359999656677246,LOO,8,0.03142189974610969,2025-01-16,US-Equity-1000,pending
21,LBRT,-1,22.670000076293945,LOO,12,0.03142189974610969,2025-01-16,US-Equity-1000,pending
22,PGNY,-1,20.75,LOO,13,0.03142189974610969,2025-01-16,US-Equity-1000,pending
23,TDW,-1,56.5099983215332,LOO,14,0.03142189974610969,2025-01-16,US-Equity-1000,pending
24,SWTX,1,32.470001220703125,LOO,9,0.06284379949221938,2025-01-16,US-Equity-1000,pending
25,TMDX,1,60.439998626708984,LOO,10,0.06284379949221938,2025-01-16,US-Equity-1000,pending
26,KTOS,-1,34.04999923706055,LOO,15,0.03142189974610969,2025-01-16,US-Equity-1000,pending
27,PI,1,136.52000427246094,LOO,11,0.03142189974610969,2025-01-16,US-Equity-1000,pending
28,CRNX,1,36.72999954223633,LOO,12,0.03142189974610969,2025-01-16,US-Equity-1000,pending
29,RDNT,1,61.7400016784668,LOO,13,0.03142189974610969,2025-01-16,US-Equity-1000,pending
30,VCEL,1,55.09000015258789,LOO,14,0.06284379949221938,2025-01-16,US-Equity-1000,pending
31,CALM,-1,112.51000213623047,LOO,16,0.03142189974610969,2025-01-16,US-Equity-1000,pending
32,BE,1,22.649999618530273,LOO,15,0.03142189974610969,2025-01-16,US-Equity-1000,pending
33,NUVL,-1,77.44000244140625,LOO,17,0.03142189974610969,2025-01-16,US-Equity-1000,pending
34,DNLI,-1,21.5,LOO,18,0.03142189974610969,2025-01-16,US-Equity-1000,pending
35,AMPH,1,36.2400016784668,LOO,16,0.03142189974610969,2025-01-16,US-Equity-1000,pending
36,IMVT,-1,24.399999618530273,LOO,19,0.03142189974610969,2025-01-16,US-Equity-1000,pending
37,PSMT,1,87.31999969482422,LOO,17,0.03142189974610969,2025-01-16,US-Equity-1000,pending
38,HEES,-1,90.30000305175781,LOO,20,0.03142189974610969,2025-01-16,US-Equity-1000,pending
39,CLDX,1,22.6200008392334,LOO,18,0.03142189974610969,2025-01-16,US-Equity-1000,pending
40,ENVX,1,10.779999732971191,LOO,19,0.03142189974610969,2025-01-16,US-Equity-1000,pending
41,VERA,1,33.880001068115234,LOO,20,0.03142189974610969,2025-01-16,US-Equity-1000,pending
