,symbol,signal,potential_fill_price,order_type,priority,risk_adjuster,Date,market,status
0,INTC,1,21.329999923706055,LOO,0,0.03920149455097559,2025-03-05,US-Equity-1000,pending
1,INTU,-1,604.280029296875,LOO,0,0.07840298910195118,2025-03-05,US-Equity-1000,pending
2,BA,1,158.89999389648438,LOO,1,0.03920149455097559,2025-03-05,US-Equity-1000,pending
3,C,1,72.3499984741211,LOO,2,0.03920149455097559,2025-03-05,US-Equity-1000,pending
4,BBWI,1,34.25,LOO,3,0.03920149455097559,2025-03-05,US-Equity-1000,pending
5,WHR,1,90.70999908447266,LOO,4,0.03920149455097559,2025-03-05,US-Equity-1000,pending
6,ALK,1,65.30000305175781,LOO,5,0.03920149455097559,2025-03-05,US-Equity-1000,pending
7,VFC,1,22.540000915527344,LOO,6,0.03920149455097559,2025-03-05,US-Equity-1000,pending
8,AAP,1,34.58000183105469,LOO,7,0.03920149455097559,2025-03-05,US-Equity-1000,pending
9,FTRE,1,10.300000190734863,LOO,8,0.07840298910195118,2025-03-05,US-Equity-1000,pending
10,DAL,1,54.689998626708984,LOO,9,0.03920149455097559,2025-03-05,US-Equity-1000,pending
11,NTAP,1,93.55999755859375,LOO,10,0.07840298910195118,2025-03-05,US-Equity-1000,pending
12,AXON,-1,528.280029296875,LOO,1,0.07840298910195118,2025-03-05,US-Equity-1000,pending
13,UAL,1,86.20999908447266,LOO,11,0.03920149455097559,2025-03-05,US-Equity-1000,pending
14,TFX,1,130.7899932861328,LOO,12,0.07840298910195118,2025-03-05,US-Equity-1000,pending
15,SMCI,-1,39.13999938964844,LOO,2,0.03920149455097559,2025-03-05,US-Equity-1000,pending
16,MSTR,-1,275.1499938964844,LOO,3,0.11760448365292675,2025-03-05,US-Equity-1000,pending
17,MARA,-1,13.970000267028809,LOO,4,0.07840298910195118,2025-03-05,US-Equity-1000,pending
18,AAON,1,71.0,LOO,13,0.07840298910195118,2025-03-05,US-Equity-1000,pending
19,DUOL,1,288.8699951171875,LOO,14,0.07840298910195118,2025-03-05,US-Equity-1000,pending
20,SPXC,-1,137.22000122070312,LOO,5,0.03920149455097559,2025-03-05,US-Equity-1000,pending
21,LNTH,-1,98.16999816894531,LOO,6,0.03920149455097559,2025-03-05,US-Equity-1000,pending
22,PGNY,-1,21.670000076293945,LOO,7,0.03920149455097559,2025-03-05,US-Equity-1000,pending
23,SWTX,1,51.380001068115234,LOO,15,0.03920149455097559,2025-03-05,US-Equity-1000,pending
24,PSN,-1,57.5099983215332,LOO,8,0.03920149455097559,2025-03-05,US-Equity-1000,pending
25,VKTX,-1,28.09000015258789,LOO,9,0.03920149455097559,2025-03-05,US-Equity-1000,pending
26,ICFI,1,76.81999969482422,LOO,16,0.03920149455097559,2025-03-05,US-Equity-1000,pending
27,EVTC,-1,37.709999084472656,LOO,10,0.03920149455097559,2025-03-05,US-Equity-1000,pending
28,URBN,-1,57.75,LOO,11,0.03920149455097559,2025-03-05,US-Equity-1000,pending
29,FTDR,1,40.869998931884766,LOO,17,0.03920149455097559,2025-03-05,US-Equity-1000,pending
30,STRL,-1,122.27999877929688,LOO,12,0.03920149455097559,2025-03-05,US-Equity-1000,pending
31,FLYW,1,10.640000343322754,LOO,18,0.07840298910195118,2025-03-05,US-Equity-1000,pending
32,TWST,-1,39.68000030517578,LOO,13,0.03920149455097559,2025-03-05,US-Equity-1000,pending
33,RDNT,1,49.41999816894531,LOO,19,0.03920149455097559,2025-03-05,US-Equity-1000,pending
34,PARR,1,12.479999542236328,LOO,20,0.03920149455097559,2025-03-05,US-Equity-1000,pending
35,DNLI,-1,15.949999809265137,LOO,14,0.03920149455097559,2025-03-05,US-Equity-1000,pending
36,AMBA,1,55.349998474121094,LOO,21,0.03920149455097559,2025-03-05,US-Equity-1000,pending
37,HURN,-1,148.61000061035156,LOO,15,0.03920149455097559,2025-03-05,US-Equity-1000,pending
38,PRCT,-1,64.9800033569336,LOO,16,0.03920149455097559,2025-03-05,US-Equity-1000,pending
39,TGTX,-1,35.619998931884766,LOO,17,0.07840298910195118,2025-03-05,US-Equity-1000,pending
40,GSHD,-1,123.47000122070312,LOO,18,0.03920149455097559,2025-03-05,US-Equity-1000,pending
41,HEES,-1,94.25,LOO,19,0.03920149455097559,2025-03-05,US-Equity-1000,pending
42,ODP,1,14.180000305175781,LOO,22,0.03920149455097559,2025-03-05,US-Equity-1000,pending
43,IONQ,1,21.450000762939453,LOO,23,0.03920149455097559,2025-03-05,US-Equity-1000,pending
44,AGYS,-1,80.0999984741211,LOO,20,0.03920149455097559,2025-03-05,US-Equity-1000,pending
45,EYE,-1,12.390000343322754,LOO,21,0.03920149455097559,2025-03-05,US-Equity-1000,pending
46,PTGX,-1,38.65999984741211,LOO,22,0.03920149455097559,2025-03-05,US-Equity-1000,pending
47,JACK,-1,36.13999938964844,LOO,23,0.03920149455097559,2025-03-05,US-Equity-1000,pending
