,Market,win,win_l,win_s,Trades,n_l,n_s,E[P],E[P]_l,E[P]_s,p75_tp,MCFs,E[D],Med[D],M[D],ret(%),ann(%),B,ADR,Vol_D,VaR(%),E[OP],M[OP],DD%,DD[D],MDL,sharpe,win_d,E[XP],M[XP]
0,US-Equity-SNP,0.4,  ,0.4,696,0,696,-70.09,0.0,-70.09,1.0,18,4.83,7.0,8.0,-21.96,-3.48,-0.09,-1.39,3.21,0.33,1.78,4,32.1,1443,1.24,-1.09,0.44,-100.0,-100.0
1,1709-1809,  ,  ,  ,0,0,0,0.0,0.0,0.0,  ,0,  ,  ,  ,0.0,  ,0.0,0.0,0.0,0.0,1.0,1,0.0,1,0.0,0.0,0.0,  ,  
2,1809-1909,0.41,  ,0.41,91,0,91,-35.18,0.0,-35.18,1.0,10,5.38,7.0,8.0,-1.72,  ,-0.12,-0.68,2.8,0.29,1.68,3,5.4,156,0.88,-0.61,0.46,-100.0,-100.0
3,1909-2009,0.22,  ,0.22,101,0,101,-230.1,0.0,-230.1,1.0,18,4.5,7.0,8.0,-11.01,  ,-0.03,-4.63,3.05,0.32,1.6,4,13.5,235,0.75,-3.83,0.38,-100.0,-100.0
4,2009-2109,0.5,  ,0.5,121,0,121,3.28,0.0,3.28,1.0,15,5.27,7.0,8.0,0.12,  ,-0.14,0.07,3.29,0.34,2.14,4,3.9,83,0.81,0.05,0.47,-100.0,-100.0
5,2109-2209,0.53,  ,0.53,138,0,138,45.42,0.0,45.42,1.0,8,4.26,4.0,8.0,3.1,  ,-0.16,1.27,4.79,0.5,2.02,4,4.0,122,0.9,0.67,0.48,-100.0,-100.0
6,2209-2309,0.39,  ,0.39,125,0,125,-114.17,0.0,-114.17,1.0,12,4.51,4.0,8.0,-6.89,  ,-0.14,-2.84,3.8,0.39,2.0,4,9.2,171,1.24,-1.88,0.44,-100.0,-100.0
7,2309-2409,0.31,  ,0.31,120,0,120,-122.81,0.0,-122.81,1.0,11,5.25,7.0,8.0,-7.01,  ,-0.11,-2.9,2.54,0.26,2.03,4,8.1,246,0.53,-2.88,0.41,-100.0,-100.0
